[l,n]	Base4h	Base16h	Base32
[10,291]	'10203	'48M	'93
[8,73]	'1021	'49	'
[9,146]	'1021G	'49G	'
[10,292]	'10210	'49J	'94
[10,293]	'10211	'49K	'95
[9,147]	'1021H	'49H	'
[10,294]	'10212	'49L	'96
[10,295]	'10213	'49M	'97
[7,37]	'102H	'4T	'
[8,74]	'1022	'4a	'
[9,148]	'1022G	'4aG	'
[10,296]	'10220	'4aJ	'98
[10,297]	'10221	'4aK	'99
[9,149]	'1022H	'4aH	'
[10,298]	'10222	'4aL	'9a
[10,299]	'10223	'4aM	'9b
[8,75]	'1023	'4b	'
[9,150]	'1023G	'4bG	'
[10,300]	'10230	'4bJ	'9c
[10,301]	'10231	'4bK	'9d
[9,151]	'1023H	'4bH	'
[10,302]	'10232	'4bL	'9e
[10,303]	'10233	'4bM	'9f
[6,19]	'103	'4M	'
[7,38]	'103G	'4V	'
[8,76]	'1030	'4c	'
[9,152]	'1030G	'4cG	'
[10,304]	'10300	'4cJ	'9g
[10,305]	'10301	'4cK	'9h
[9,153]	'1030H	'4cH	'
[10,306]	'10302	'4cL	'9i
[10,307]	'10303	'4cM	'9j
[8,77]	'1031	'4d	'
[9,154]	'1031G	'4dG	'
[10,308]	'10310	'4dJ	'9k
[10,309]	'10311	'4dK	'9l
[9,155]	'1031H	'4dH	'
[10,310]	'10312	'4dL	'9m
[10,311]	'10313	'4dM	'9n
[7,39]	'103H	'4Z	'
[8,78]	'1032	'4e	'
[9,156]	'1032G	'4eG	'
[10,312]	'10320	'4eJ	'9o
[10,313]	'10321	'4eK	'9p
[9,157]	'1032H	'4eH	'
[10,314]	'10322	'4eL	'9q
[10,315]	'10323	'4eM	'9r
[8,79]	'1033	'4f	'
[9,158]	'1033G	'4fG	'
[10,316]	'10330	'4fJ	'9s
[10,317]	'10331	'4fK	'9t
[9,159]	'1033H	'4fH	'
[10,318]	'10332	'4fL	'9u
[10,319]	'10333	'4fM	'9v
[4,5]	'11	'5	'
[5,10]	'11G	'5G	'a
[6,20]	'110	'5J	'
[7,40]	'110G	'5N	'
[8,80]	'1100	'50	'
[9,160]	'1100G	'50G	'
[10,320]	'11000	'50J	'a0
[10,321]	'11001	'50K	'a1
[9,161]	'1100H	'50H	'
[10,322]	'11002	'50L	'a2
[10,323]	'11003	'50M	'a3
[8,81]	'1101	'51	'
[9,162]	'1101G	'51G	'
[10,324]	'11010	'51J	'a4
[10,325]	'11011	'51K	'a5
[9,163]	'1101H	'51H	'
[10,326]	'11012	'51L	'a6
[10,327]	'11013	'51M	'a7
[7,41]	'110H	'5P	'
[8,82]	'1102	'52	'
[9,164]	'1102G	'52G	'
[10,328]	'11020	'52J	'a8
[10,329]	'11021	'52K	'a9
[9,165]	'1102H	'52H	'
[10,330]	'11022	'52L	'aa
[10,331]	'11023	'52M	'ab
[8,83]	'1103	'53	'
[9,166]	'1103G	'53G	'
[10,332]	'11030	'53J	'ac
[10,333]	'11031	'53K	'ad
[9,167]	'1103H	'53H	'
[10,334]	'11032	'53L	'ae
[10,335]	'11033	'53M	'af
[6,21]	'111	'5K	'
[7,42]	'111G	'5Q	'
[8,84]	'1110	'54	'
[9,168]	'1110G	'54G	'
[10,336]	'11100	'54J	'ag
[10,337]	'11101	'54K	'ah
[9,169]	'1110H	'54H	'
[10,338]	'11102	'54L	'ai
[10,339]	'11103	'54M	'aj
[8,85]	'1111	'55	'
[9,170]	'1111G	'55G	'
[10,340]	'11110	'55J	'ak
[10,341]	'11111	'55K	'al
[9,171]	'1111H	'55H	'
[10,342]	'11112	'55L	'am
[10,343]	'11113	'55M	'an
[7,43]	'111H	'5R	'
[8,86]	'1112	'56	'
[9,172]	'1112G	'56G	'
[10,344]	'11120	'56J	'ao
[10,345]	'11121	'56K	'ap
[9,173]	'1112H	'56H	'
[10,346]	'11122	'56L	'aq
[10,347]	'11123	'56M	'ar
[8,87]	'1113	'57	'
[9,174]	'1113G	'57G	'
[10,348]	'11130	'57J	'as
[10,349]	'11131	'57K	'at
[9,175]	'1113H	'57H	'
[10,350]	'11132	'57L	'au
[10,351]	'11133	'57M	'av
[5,11]	'11H	'5H	'b
[6,22]	'112	'5L	'
[7,44]	'112G	'5S	'
[8,88]	'1120	'58	'
[9,176]	'1120G	'58G	'
[10,352]	'11200	'58J	'b0
[10,353]	'11201	'58K	'b1
[9,177]	'1120H	'58H	'
[10,354]	'11202	'58L	'b2
[10,355]	'11203	'58M	'b3
[8,89]	'1121	'59	'
[9,178]	'1121G	'59G	'
[10,356]	'11210	'59J	'b4
[10,357]	'11211	'59K	'b5
[9,179]	'1121H	'59H	'
[10,358]	'11212	'59L	'b6
[10,359]	'11213	'59M	'b7
[7,45]	'112H	'5T	'
[8,90]	'1122	'5a	'
[9,180]	'1122G	'5aG	'
[10,360]	'11220	'5aJ	'b8
[10,361]	'11221	'5aK	'b9
[9,181]	'1122H	'5aH	'
[10,362]	'11222	'5aL	'ba
[10,363]	'11223	'5aM	'bb
[8,91]	'1123	'5b	'
[9,182]	'1123G	'5bG	'
[10,364]	'11230	'5bJ	'bc
[10,365]	'11231	'5bK	'bd
[9,183]	'1123H	'5bH	'
[10,366]	'11232	'5bL	'be
[10,367]	'11233	'5bM	'bf
[6,23]	'113	'5M	'
[7,46]	'113G	'5V	'
[8,92]	'1130	'5c	'
[9,184]	'1130G	'5cG	'
[10,368]	'11300	'5cJ	'bg
[10,369]	'11301	'5cK	'bh
[9,185]	'1130H	'5cH	'
[10,370]	'11302	'5cL	'bi
[10,371]	'11303	'5cM	'bj
[8,93]	'1131	'5d	'
[9,186]	'1131G	'5dG	'
[10,372]	'11310	'5dJ	'bk
[10,373]	'11311	'5dK	'bl
[9,187]	'1131H	'5dH	'
[10,374]	'11312	'5dL	'bm
[10,375]	'11313	'5dM	'bn
[7,47]	'113H	'5Z	'
[8,94]	'1132	'5e	'
[9,188]	'1132G	'5eG	'
[10,376]	'11320	'5eJ	'bo
[10,377]	'11321	'5eK	'bp
[9,189]	'1132H	'5eH	'
[10,378]	'11322	'5eL	'bq
[10,379]	'11323	'5eM	'br
[8,95]	'1133	'5f	'
[9,190]	'1133G	'5fG	'
[10,380]	'11330	'5fJ	'bs
[10,381]	'11331	'5fK	'bt
[9,191]	'1133H	'5fH	'
[10,382]	'11332	'5fL	'bu
[10,383]	'11333	'5fM	'bv
[3,3]	'1H	'R	'
[4,6]	'12	'6	'
[5,12]	'12G	'6G	'c
[6,24]	'120	'6J	'
[7,48]	'120G	'6N	'
[8,96]	'1200	'60	'
[9,192]	'1200G	'60G	'
[10,384]	'12000	'60J	'c0
[10,385]	'12001	'60K	'c1
[9,193]	'1200H	'60H	'
[10,386]	'12002	'60L	'c2
[10,387]	'12003	'60M	'c3
[8,97]	'1201	'61	'
[9,194]	'1201G	'61G	'
[10,388]	'12010	'61J	'c4
[10,389]	'12011	'61K	'c5
[9,195]	'1201H	'61H	'
[10,390]	'12012	'61L	'c6
[10,391]	'12013	'61M	'c7
[7,49]	'120H	'6P	'
[8,98]	'1202	'62	'
[9,196]	'1202G	'62G	'
[10,392]	'12020	'62J	'c8
[10,393]	'12021	'62K	'c9
[9,197]	'1202H	'62H	'
[10,394]	'12022	'62L	'ca
[10,395]	'12023	'62M	'cb
[8,99]	'1203	'63	'
[9,198]	'1203G	'63G	'
[10,396]	'12030	'63J	'cc
[10,397]	'12031	'63K	'cd
[9,199]	'1203H	'63H	'
[10,398]	'12032	'63L	'ce
